,0
569,2015-01-10
570,2005-03-12
571,2015-04-05
572,2015-04-16
573,2012-04-02
574,2016-03-06
575,2016-02-23
576,2014-11-19
577,1999-12-06
578,1987-04-23
579,2016-02-27
580,2016-02-21
581,2014-05-23
582,2008-06-25
583,2006-08-24
584,1995-04-03
585,1993-12-07
586,2016-02-07
587,1993-07-01
588,2016-04-24
589,1984-07-18
590,2009-11-05
591,1996-02-09
592,2016-03-12
593,2016-01-06
594,2016-01-07
595,1993-12-16
596,2015-02-22
597,2016-03-11
598,2015-06-17
599,2015-09-17
600,1999-07-29
601,2011-10-12
602,2016-03-07
603,1986-08-12
604,2015-01-28
605,1998-03-24
606,2012-07-20
607,1993-08-06
608,2016-01-30
609,2012-10-21
610,1992-12-14
611,1997-10-01
612,2016-02-23
613,2016-03-09
