YEAR,ORI,AGENCY NAME,POPULATION,NUMBER OF MONTHS REPROTED,TOTAL COMMERCIAL SEX ACTS,TOTAL COMMERCIAL SEX ACTS CLEARED,TOTAL COMMERCIAL SEX ACTS JUVENILE CLEARED,TOTAL INVOLUNTARY SERVITUDE,TOTAL INVOLUNTARY SERVITUDE CLEARED,TOTAL INVOLUNTARY SERVITUDE JUVENILE CLEARED
2013,IN08001,TIPTON,"4,983",3,0,0,0,0,0,0
2013,IN08200,VANDERBURGH,"61,403",9,0,0,0,0,0,0
2013,IN08201,EVANSVILLE,"120,284",8,0,0,0,0,0,0
2013,IN08301,CLINTON,"4,810",8,0,0,0,0,0,0
2013,IN08400,VIGO,"45,432",5,0,0,0,0,0,0
2013,IN08401,TERRE HAUTE,"61,215",7,0,0,0,0,0,0
2013,IN08500,WABASH,"15,874",2,0,0,0,0,0,0
2013,IN08700,WARRICK,"54,632",8,0,0,0,0,0,0
2013,IN08701,BOONVILLE,"6,197",10,0,0,0,0,0,0
2013,IN08904,HAGERSTOWN,"1,764",10,0,0,0,0,0,0
2013,IN09100,WHITE,"19,085",8,0,0,0,0,0,0
2013,LA00201,KINDER,"2,426",1,0,0,0,0,0,0
2013,LA00500,AVOYELLES,"26,770",1,0,0,0,0,0,0
2013,LA00506,MOREAUVILLE,913,1,0,0,0,0,0,0
2013,LA00700,BIENVILLE,"14,002",1,0,0,0,0,0,0
2013,LA00801,BOSSIER CITY,"65,578",1,0,0,0,0,0,0
2013,LA00804,HAUGHTON,"3,495",1,0,0,0,0,0,0
2013,LA00806,LA ST UNIV: SHREVEPORT,0,1,0,0,0,0,0,0
2013,LA00807,SOUTHERN U &A&M C: SHREV,0,1,0,0,0,0,0,0
2013,LA00910,GREENWOOD,"3,268",1,0,0,0,0,0,0
2013,LA01002,LAKE CHARLES,"73,894",1,0,0,0,0,0,0
2013,LA01007,IOWA,"3,160",1,0,0,0,0,0,0
2013,LA01100,CALDWELL,"9,974",1,0,0,0,0,0,0
2013,LA01400,CLAIBORNE,"11,384",1,0,0,0,0,0,0
2013,LA01600,DE SOTO,"20,183",1,0,0,0,0,0,0
